 0    14092.572886972 
 1    14092.119505740 
 2    14091.247384188 
 3    14089.555675726 
 4    14086.785848756 
 5    14081.247690427 
 6    14070.067011504 
 7    14047.842911308 
 8    14003.819400537 
 9    13916.654930640 
 10    13742.958099226 
 11    13407.921797347 
 12    12784.232187107 
 13    11582.409473882 
 14    9266.874653231 
 15    5272.430515236 
 16    2960.603010632 
 17    2492.758745938 
 18    2459.210079805 
 19    2458.621898541 
 20    2458.534783266 
 21    2458.514003859 
 22    2458.508923332 
 23    2458.507661256 
 24    2458.507349060 
 25    2458.507271629 
 26    2458.507252441 
